,artist,song,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,pink floyd,another brick in the wall (part 2),spotify:track:1xUTI8Ce8IQnyYCGPmrbzS,0.395,0.766,0,-11.041,1,0.0512,0.00583,0.00624,0.774,0.611,105.41,326373,4
1,barbra streisand,a woman in love,spotify:track:53No4na49hTw82MxrFh2PB,0.489,0.245,3,-16.876,0,0.0284,0.43,1.46e-05,0.298,0.333,169.747,230227,4
2,john lennon,(just like) starting over,spotify:track:5y0YreEOnQiKFAnCrcFIXz,0.701,0.79,9,-6.16,1,0.0725,0.301,6.06e-05,0.179,0.421,99.104,236547,4
3,diana ross,upside down,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,0.873,0.855,5,-8.559,0,0.0615,0.179,0.0285,0.0377,0.884,107.868,245600,4
4,lipps inc,funkytown,spotify:track:5dIKF6uVJ206hj0pO0gg0I,0.893,0.509,0,-10.136,1,0.0659,0.00154,0.515,0.0783,0.334,122.478,469347,4
5,blondie,call me,spotify:track:7HKxTNVlkHsfMLhigmhC0I,0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,212227,4
6,queen,another one bites the dust,spotify:track:57JVGBtBLCfHw2muk5416J,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4
7,queen,crazy little thing called love,spotify:track:35ItUJlMtjOQW3SSiTCrrw,0.599,0.762,0,-6.887,1,0.0423,0.714,4.43e-06,0.35,0.715,76.961,163373,4
8,olivia newton-john & electric light orchestra,xanadu,spotify:track:0RD3xVmGliXhhHkEiev2mW,0.557,0.616,11,-9.433,1,0.0368,0.144,0,0.111,0.559,127.746,203289,4
9,irene cara,fame,spotify:track:5CI1FP2Volc9wjz2MBZsGx,0.7,0.73,0,-8.763,0,0.0311,0.132,0,0.133,0.961,130.519,316067,4
10,abba,the winner takes it all,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720,4
11,blondie,the tide is high,spotify:track:165NAtd2DRPKNQ6EVY0VG9,0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,233893,4
12,sugarhill gang,rapper's delight,spotify:track:0FWhGmPVxLI6jOVF0wjALa,0.9,0.845,11,-7.306,0,0.257,0.465,0,0.0724,0.914,111.187,427360,4
13,the pretenders,brass in pocket (i'm special),spotify:track:2DFQhzSAB1NE1TT863WH2c,0.834,0.386,9,-14.241,1,0.0358,0.342,0,0.117,0.644,99.269,180415,4
14,stevie wonder,master blaster (jammin'),spotify:track:5EAgXGJ8Kw5QAfhQkZXYqT,0.877,0.422,10,-14.933,0,0.0546,0.04,0.000406,0.182,0.97,131.103,307933,4
15,kc & the sunshine band,please don't go,spotify:track:6dw6BquK0Mv72p6HpusqKN,0.482,0.615,6,-11.093,1,0.0398,0.00888,1.78e-06,0.0431,0.437,96.307,230533,4
16,the police,don't stand so close to me,spotify:track:5veJDT0MLsLbhYsx42GXUD,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,242667,4
17,abba,super trouper,spotify:track:0J2p4KYdr6Mg4ET6JPlbe1,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34,252853,4
18,kenny rogers,lady,spotify:track:5Pj5zrq2nbKcAekH1AxbrO,0.362,0.183,3,-16.0,0,0.0347,0.861,0.000234,0.0932,0.2,136.646,231867,4
19,johnny logan,what's another year,spotify:track:3ta02cB4LPfhru6F9D4CjW,0.475,0.65,8,-6.391,1,0.0352,0.35,3.29e-06,0.0996,0.199,106.846,186000,4
20,leo sayer,more than i can say,spotify:track:3RJ81z1sPLeWEFuCfGaCLC,0.728,0.511,10,-11.178,1,0.0233,0.198,0.00052,0.322,0.714,96.406,220533,4
21,paul mccartney,coming up,spotify:track:4Ku6X72Q815qNd7ChuiDdD,0.817,0.767,8,-7.194,1,0.0468,0.457,0.0723,0.0606,0.878,128.93,231880,4
22,kenny rogers,coward of the county,spotify:track:0JkIre0YxNmKGMU5V7ZiDx,0.652,0.433,7,-12.843,1,0.0588,0.134,7.37e-06,0.146,0.675,91.471,258733,4
23,goombay dance band,sun of jamaica,spotify:track:5apwlmvQphkCJbHnMGUP2t,0.627,0.816,11,-10.361,0,0.0324,0.0984,0.000252,0.745,0.862,129.241,264000,4
24,captain & tennille,do that to me one more time,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,0.728,0.524,7,-8.227,1,0.0255,0.563,0.000131,0.0913,0.51,90.262,256667,4
25,gary numan,cars,spotify:track:4QQEzkxcONBthDLfzqIh9S,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,238907,4
26,the rolling stones,emotional rescue,spotify:track:5IATbFZds3cbOx8YxuMuko,0.678,0.621,5,-5.478,1,0.0623,0.111,0.0973,0.0394,0.776,113.389,339400,4
27,olivia newton-john, magic,spotify:track:56BSwBKWHYldQOgYLHiehs,0.697,0.611,2,-5.997,1,0.0265,0.0178,8.92e-05,0.11,0.603,103.77,271667,4
28,michael jackson,rock with you,spotify:track:7oOOI85fVQvVnK5ynNMdW7,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627,4
29,the detroit spinners,working my way back to you,spotify:track:7cLkQkC9Z7hnN767rfRl5G,0.818,0.768,9,-6.975,0,0.0482,0.289,4.73e-06,0.107,0.922,121.562,242667,4
30,david bowie,ashes to ashes,spotify:track:37CRPk0L5ZpfPeePEPwE0t,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,4
31,elton john,little jeannie,spotify:track:19Kf8FxBJ5a1Bb8uKCrIIe,0.616,0.444,10,-14.224,1,0.0276,0.461,0.000115,0.0847,0.763,143.805,313187,4
32,christopher cross,sailing,spotify:track:6Hu6dzwlvoyg3zBUC8k4BK,0.469,0.382,2,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994,256147,4
33,george benson,give me the night,spotify:track:62GYoGszQfROZswLee6W3O,0.85,0.466,1,-15.673,1,0.0555,0.314,0.0234,0.129,0.86,109.936,222627,4
34,rocky burnett,tired of toein' the line,spotify:track:3E3K8IXR3o7XOBvaGE2e55,0.67,0.773,4,-10.953,0,0.0377,0.677,0.00192,0.309,0.827,120.465,223373,4
35,air supply,all out of love,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383,243000,4
36,neil diamond,love on the rocks,spotify:track:6XNGIaXv2xljDcxQ99p65f,0.361,0.193,9,-17.126,0,0.0387,0.889,4.4e-05,0.0879,0.164,64.572,217893,4
37,billy joel,it's still rock 'n' roll to me,spotify:track:64UioB4Nmwgn2f4cbIpAkl,0.752,0.684,0,-7.599,1,0.15,0.0994,0,0.0897,0.539,141.075,176440,4
38,bruce springsteen,hungry heart,spotify:track:1KsI8NEeAna8ZIdojI3FiT,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,4
39,dr hook,sexy eyes,spotify:track:6uxGAruWvj6O2hVBBTNITa,0.734,0.735,9,-10.13,0,0.0524,0.373,0,0.227,0.883,103.862,177427,4
40,the korgis,everybody's got to learn sometime ,spotify:track:2PxyiPwogw6C9yu1jRgFiA,0.425,0.298,1,-12.037,0,0.0258,0.0154,0.00133,0.0725,0.0929,75.038,251947,4
