,artist,song,track_id
0,Prince,When Doves Cry,6ZB15yAQctgJLoM3zz2DWA
1,Irene Cara,"Fame - From ""Fame"" Original Motion Picture Soundtrack",45StDg3fxr2BEc1AyyvtTJ
2,Bananarama,Venus,6KqWBiEZxRmPPGDc0PkRoV
3,a-ha,Take On Me,1nbMkRhfldXcmCyB83x8lK
4,Madonna,Material Girl,7F2b4lHBr8V7JzNbN1ipCe
5,David Bowie,Let's Dance - Single Version;2002 - Remaster,1p7zXayxaBBPqf4tI1udQd
6,Culture Club,Karma Chameleon,4NH4xiPQ7TqNGqj6pZV4ki
7,Survivor,Eye of the Tiger,0jSRZBsn3RqAhBDzAefHAD
8,Michael Jackson,Beat It - Single Version,6n5BpBMLfOy4uOLzmmZaEf
9,Queen,Another One Bites The Dust,6bGfLXep8L61VFcIHDCRb0
10,Tina Turner,What's Love Got To Do WIth It - 1997 Digital Remaster,4QjjabJx7K14tHwxEVI0Xc
11,The Weather Girls,It's Raining Men,5TgD3Wh5ZUZnUU4tmVvJbx
12,Michael Jackson,Thriller,3mCHHqfRktiCRetZ1KiJHE
13,Michael Jackson,Wanna Be Startin' Somethin',1hu2s7qkm5bo03eODpRQO3
14,Michael Sembello,Maniac,1xPSDf8z4dH46gkvlLtvDO
15,The Pointer Sisters,I'm So Excited,2u8MGAiS2hBVE7GZzTZLQI
16,Cyndi Lauper,I Drove All Night,74ZqQInoccGilzTdgsGoYZ
17,Bon Jovi,Livin' On A Prayer,0htMxjQHDMnrt8as3Z3uFo
18,Michael Jackson,The Way You Make Me Feel - Single Version,682nhC3aQtY9HwrC2P2vz4
19,ABBA,Super Trouper,33AXYvcmDvefDHWBFwLtLD
20,Prince,Kiss,62LJFaYihsdVrrkgUOJC05
21,Queen,I Want To Break Free - Remastered 2011,4ue5ET9msGNJSO6sSbrCVE
22,George Michael,Faith,1eKhntRLUPDV7h6tATtzsv
23,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),7yqU5HODQU91zj8ahUaUX1
24,Bryan Adams,Summer Of '69,5ROeX4Hi9XoBT5hmBR1xra
25,Diana Ross,I'm Coming Out,3SWtARhg5sr8PArDg9MuiW
26,Milli Vanilli,Girl You Know It's True,24K5er7fAl8bNeF5H8nMAU
27,Bon Jovi,You Give Love A Bad Name,4jlp53Zc5Aq2DQFmu41nvE
28,Europe,The Final Countdown,5SVjNC3aHPWYvn8WfEHNI7
29,Blondie,The Tide Is High,1jLRap9S6KxWpzlxBqYh17
30,Michael Jackson,Bad,4xJjD28UsZlqbX7tBV3Aj5
31,Michael Jackson,Billie Jean - Single Version,6aLWY1Lax3ASlHzNAl2xRZ
32,Cher,If I Could Turn Back Time,11yMpFaHoZ3IvseXIf6I0P
33,Madonna,La Isla Bonita,0rpndqrkU9y9nckNCfjcq6
34,Michael Jackson,P.Y.T. (Pretty Young Thing),7xfEgtVHwqQOB9Ixbr4qs6
35,Bruce Springsteen,Dancing in the Dark,0KsWvegLnQmb6SXbQ32FAi
36,Culture Club,Do You Really Want To Hurt Me,1CvYqGF4t3haWIZZOkofpx
37,Eddie Murphy,Party All the Time,2v7UZg6zavc2hVLZ79foPt
38,Michael Jackson,Smooth Criminal - Radio Edit,1mzn6CQ71eUmgCSfbVmicN
39,Journey,Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg
40,Madonna,Like a Prayer,0jKVG8nTcH5ZVLwjW1tVbr
41,Miami Sound Machine,Conga!,3zVLix0PrmdxGg9fRGlz5y
42,Michael Jackson,Leave Me Alone,1FDNw06jT4JdYiZ2xxhuyi
43,Queen,Under Pressure,4gXBhtEyLIvOMTdKZdvFIo
44,Cutting Crew,(I Just) Died In Your Arms,0YPXkQthLWrhNGoKTbwCJ8
45,Starship,We Built This City,7aHRctaQ7vjxVTVmY8OhAA
46,Madonna,Into the Groove,2m0M7YqCy4lXfedh18qd8N
47,Toni Basil,Mickey,2cZFWUgoFqsruaDftuCv7e
48,Madonna,Papa Don't Preach,6A8OnjnpShshNpcqWtZRjr
49,Katrina & The Waves,Walking On Sunshine,7n1sAeis4HONDsNnnqmtaU
50,Generation X,Dancing With Myself - EP Version,7DxFABDwGKY91Mx8uZ2YUH
51,Billy Joel,We Didn't Start the Fire,38bDGWuyYdSdNfrFfbCiVS
52,The Jacksons,Can You Feel It,4FP8dyBjGDBxcVRTTxOeog
53,Kenny Loggins,Danger Zone,2CJtimCSGAn8x6RE3irZFV
54,Taylor Dayne,Tell It to My Heart - Single Mix,63M148R74yawOK4CafUhjM
55,Madonna,Open Your Heart,3kme5Qos8h04yrKxsgur79
56,Gloria Estefan And Miami Sound Machine,Rhythm Is Gonna Get You,6gBcyxdwgcnA8UQnB9vwRc
57,Elton John,I'm Still Standing,0lzpfrTARexLFXEACKSXTh
58,Marvin Gaye,Sexual Healing,7nVzOpFNZVFZtbq3OGJHX9
59,Cyndi Lauper,Girls Just Want to Have Fun,7sMGwiS4vOMcz86ZY3vKYM
60,Billy Ocean,Caribbean Queen (No More Love On the Run),0ObLFkX9bnGBZMFVeLFRN4
61,Michael Jackson,Another Part of Me - Single Version,39vKMzm0v0QWHXvrErOYCy
62,Eurythmics,Sweet Dreams (Are Made of This),2CVqF1sLhwut4NiZxzNUnC
63,Frankie Goes To Hollywood,Relax,6PwKBBOvQd93qktXHf83mQ
64,Soul II Soul,Back To Life (However Do You Want Me) [feat. Caron Wheeler] - 2003 Remastered Version,4iOnYcjODjNKQKLssBV914
65,Madonna,Express Yourself,6ioBgySxoeQKALvAeLEmId
66,Soul II Soul,Back To Life (However Do You Want Me) [feat. Caron Wheeler] - 2003 Remastered Version,4iOnYcjODjNKQKLssBV914
67,Madonna,Express Yourself,6ioBgySxoeQKALvAeLEmId
68,Rick Astley,Never Gonna Give You Up - 7'' Mix,1KdSQtnmN0a418hHUQcpsK
69,John Farnham,You're the Voice,5NwkWwfRJaT55hEPtCmJHx
70,Modern Talking,"You're My Heart, You're My Soul",6jmNxPA5i0pnaSJ5u3TCz0
71,Donna Summer,She Works Hard For The Money - Edited Single Version,2se3ZbzjLen1rOOjuBKEoC
72,Simply Red,If You Don't Know Me by Now,3AXsldREGLkVbK9RCbbzlu
73,Chaka Khan,Ain't Nobody,2NVpYQqdraEcQwqT7GhUkh
74,Starship,Nothing's Gonna Stop Us Now,2vEQ9zBiwbAVXzS2SOxodY
75,Ben E. King,Stand by Me,4iVTi7nx4knGmPuxxSntLo
76,Michael Jackson,She's Out of My Life - Single Version,4J3Ie4baWO2JVSBtXcRh0C
77,Irene Cara,Flashdance...What A Feeling,18AahrDAlYYtmMDAW1pnB1
78,Berlin,"Take My Breath Away - Love Theme from ""Top Gun""",1AAEWUVZpew24mP6nC1IU5
79,Bill Medley,(I've Had) The Time of My Life,5UqqOfFa9DYXALpCCF8VwB
80,Prince,Purple Rain,55EelrA8250jCznurTC1Jb
81,Heart,Alone,5GiIkuoiTc3VNPBarlIwc5
82,Mr. Mister,Broken Wings,4A5VaeDFaX7XKV0JnsRSxw
83,Belinda Carlisle,Heaven Is A Place On Earth,1siRx9oeYHshCwvRLFr6T4
84,Kool & The Gang,Cherish,1lrQcCxnVA2cIj7KZliH8E
85,Peter Cetera,Glory of Love,1eyq8cjUQ2daFthW2PC2GM
86,Tina Turner,The Best,7gP0iSDthTnTTxD3uUDRTA
87,Air Supply,All Out of Love,1UvIymW2jANfpRmHvQSRiH
88,Chicago,Hard to Say I'm Sorry / Get Away - 2005 Remaster,41e8y8N7OLiVTWMam9iebK
89,Michael Jackson,Man in the Mirror,6DxMKY6GDGSy8aS4j2xjel
90,Michael Jackson,Man in the Mirror,6DxMKY6GDGSy8aS4j2xjel
91,Extreme,More Than Words,7z0JcZ8PQoAfUaLIXvbyTH
92,Phil Collins,Another Day In Paradise,3wNXqTMimmuTEj1iEPftC7
93,ABBA,The Winner Takes It All,2lo3t5v63FG3MCBZPnKTFz
94,Michael Jackson,I Just Can't Stop Loving You featuring Siedah Garrett,42vPadhPjtFU19K5d7s6yS
95,Dionne Warwick,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",1OzrlK57iLTIjmbZC1ppWM
96,Lionel Richie,Hello,4BItZP6I9D9NAcSn62zxKl
97,U2,With Or Without You,0tP5ogrxKrIPKHHc0seuOr
98,Cyndi Lauper,True Colors,4wd6Q1N8t43KPG4vLIidcj
99,Lionel Richie,"Endless Love - From ""The Endless Love"" Soundtrack",0NEWOH6MPGIMidyMhdJ5E3
100,Michael Jackson,Human Nature,1uhEugk1CbY7mCGkYYBJJk
101,George Michael,Careless Whisper,3CCCpjbs3uW018OkSguRFk
102,Cyndi Lauper,Time After Time,05NEcj4geEg0JthGNSGUI7
103,Foreigner,I Want to Know What Love Is - 2008 Remaster,5DeXQ3qADuDmqsosnZAK3o
104,Roxette,Listen To Your Heart,1qIKynV6YQZgocodkPdCy7
105,Simply Red,Holding Back The Years,2KFX1706M7inXef327gG0C
106,Whitney Houston,Saving All My Love for You,1lx8ddGT5wCD6W2xmLeRKG
107,Yusuf / Cat Stevens,Wild World,5aOqM8eYIzUCzbFmrlgiJ6
108,Police,Roxanne,
109,Rick Astley,Never Gonna Give You Up,4uLU6hMCjMI75M1A2tKUQC
110,Paula Abdul,Cold Hearted,6jrp8qBMJO6vhAeYVAsdk9
111,Paula Abdul,Straight Up,5xl5582IihbEZAnfj0xyso
112,Paula Abdul,Rush Rush,015qd1I4v00JIoK7yOUgKC
113,Blondie,Call Me,0vLwL4xuJ3s7SeaCdvMqkY
114,Debbie Gibson,Electric Youth,1f30N8ooqt1paPGmH5td21
115,Billy Idol,Dancing With Myself - 2001 Digital Remaster,54HWkXBa3O7jH4vletYhc6
116,Fleetwood Mac,Little Lies,5uw9UIOXj6R8pOwXte8F5h
117,Tears For Fears,Everybody Wants To Rule The World,40dJCw4xU6Bd5ie9rfagNo
118,Teena Marie,Lovergirl,13xKh7WqwxzEFYhYCJJwHg
119,Diana Ross,The Boss,5kfQK1Vb1mKSwzVn32Tarj
120,Gwen Guthrie,Ain't Nothin' Goin' On But The Rent,4De6tTVXe0N3V0OPOmkvT3
121,Cheryl Lynn,Got to Be Real,507kAF9JkOoIRBzFSZMxAZ
122,Simply Red,Holding Back the Years - 2008 Remaster,1yg7fwwYmx9DQ2TdXUmfpJ
123,Laid Back,White Horse - 2008 Remaster,6mrxHiqJhSR67wAT71ZYI5
124,Irene Cara,What A Feeling,0aAR5HogGoT68EWFbyRFqx
125,Bonnie Tyler,Total Eclipse of the Heart,7wuJGgpTNzbUyn26IOY6rj
126,Madonna,Like a Prayer,2v7ywbUzCgcVohHaKUcacV
127,Donna Summer,She Works Hard For The Money,3FlOciKDqFlTMPeC7t92Qy
128,Bonnie Tyler,Total Eclipse of the Heart,1VrfLrBviw9A6JzRoo3t2C
129,Laura Branigan,Gloria,1mskmld5ZKEhRaNvYVPoqZ
